key,label,path,status,epochs_logged,best_epoch,best_threshold,best_val_dice,test_loss,test_iou,test_dice,model_type,use_cxr_bert,prompt_mode,hh_drop_mode,fusion_mode,lora_r
simple_native_keep_both,"Simple native, HH keep, both",runs/qata_diag0516_qata_simple_native_keep_both_seed42,complete,19,11,0.55,0.8111767087901771,0.13543543397732402,0.7305165620305926,0.8211994174804489,lfaenet_tgfs_v2,False,native,keep,both,0
cxr_frozen_keep_both,"CXR-BERT native, HH keep, both",runs/screening0506_qata_cxr_frozen_keep_both_seed42,complete,50,25,0.35,0.8066786063117022,0.14265958186668576,0.724244593250053,0.8154884235676385,lfaenet_tgfs_v2,True,native,keep,both,0
cxr_frozen_keep_decoder,"CXR-BERT native, HH keep, decoder",runs/screening0506_qata_cxr_frozen_keep_decoder_seed42,complete,50,24,0.4,0.8035497112647115,0.15095827219011315,0.7197636491522221,0.8125021235422286,lfaenet_tgfs_v2,True,native,keep,decoder,0
cxr_frozen_learned_both,"CXR-BERT native, HH learned, both",runs/qata_diag0516_qata_cxr_frozen_learned_both_seed42,complete,15,7,0.35,0.8030948563993976,0.14343379030887932,0.7167541739070654,0.8118555436526299,lfaenet_tgfs_v2,True,native,learned,both,0
cxr_empty_keep_both,"CXR-BERT empty prompt, HH keep, both",runs/qata_diag0516_qata_cxr_frozen_keep_both_empty_seed42,complete,17,9,0.45,0.7558085493035822,0.18111871877273225,0.6647341584888884,0.7641671370919125,lfaenet_tgfs_v2,True,empty,keep,both,0
cxr_shuffle_keep_both,"CXR-BERT shuffled prompt, HH keep, both",runs/qata_diag0516_qata_cxr_frozen_keep_both_shuffle_seed42,complete,25,17,0.4,0.7561647299281712,0.18552644247988448,0.6626716303464821,0.7645166438558827,lfaenet_tgfs_v2,True,shuffle,keep,both,0
simple_generic_keep_both,"Simple generic, HH keep, both",runs/qata_diag0516_qata_simple_generic_keep_both_seed42,complete,15,7,0.45,0.7493948063204409,0.1848545907970187,0.6574922261199789,0.7599441152213877,lfaenet_tgfs_v2,False,generic,keep,both,0
legacy_cxr_zero_decoder,Legacy CXR-BERT hard HH zero/drop,runs/qata_b4_e50_cxrbert_frozen_v2,complete,50,26,,0.8168948748640167,0.14943187308826947,0.7253759815155164,0.8168948748640167,lfaenet_tgfs_v2,True,,,,
legacy_cxr_zero_decoder_rerun,Legacy CXR-BERT hard HH zero/drop rerun,runs/qata_b4_e50_cxrbert_frozen_v2_rerun,complete,50,6,,0.7989819800720535,0.14787873867300597,0.7084460373693242,0.8033116279567798,lfaenet_tgfs_v2,True,,,,
faenet_visual_valclean,"FAENet visual-only, older SGD/poly",runs/qata_faenet_notext_valclean_e5,complete,28,2,,0.6484144717954391,0.35429142852136003,0.5154241809941871,0.6425650975119415,faenet,True,,,,
faenet_visual_adamw,"FAENet visual-only, older AdamW/cosine",runs/qata_faenet_notext_adamw_cosine_e30,complete,19,13,,0.5343189422644716,0.37174225846456893,0.4105387996663894,0.54460388312155,faenet,True,,,,
cxr_lora8_keep_both,"CXR-BERT LoRA-r8 native, HH keep, both",runs/qata_diag0516_qata_cxr_lora8_keep_both_seed42,incomplete,4,4,0.55,0.796614871011766,,,,lfaenet_tgfs_v2,True,native,keep,both,8
