group,stage,count,mean_a_LL,std_a_LL,mean_a_LH,std_a_LH,mean_a_HL,std_a_HL,mean_a_HH,std_a_HH
all,dec4,160,0.5007712312042714,0.00016359558314942482,0.499136171117425,9.609535307250033e-05,0.4993617434054613,0.00023836360631252778,0.5003479447215795,6.299646736221751e-05
all,dec3,160,0.49983862359076736,0.00016832953470441678,0.49955222867429255,0.00015281880113540458,0.5004602506756782,0.00019462346783544987,0.49971391521394254,0.00017400752890458918
all,dec2,160,0.49948614947497844,0.0004448329097252037,0.5007933121174574,0.00031232054652821466,0.5005813861265779,0.00030617700680645463,0.49897962529212236,0.00018107817008429985
all,dec1,160,0.5018981572240591,0.000609260774755222,0.5009662315249443,0.0003135913483899373,0.49997083805501463,0.0003181080904280029,0.4991080047562718,0.0003873267295546993
small,dec4,40,0.5007854625582695,0.0001274806399914708,0.4990271210670471,7.743290761194506e-05,0.49927245154976846,0.0002058019307840753,0.5004013314843178,6.489550989666206e-05
small,dec3,40,0.49981495440006257,0.00017159925280835106,0.4997023679316044,0.00015211561325705595,0.5003644734621048,0.00018167728608022864,0.4996232733130455,0.00019669045474214096
small,dec2,40,0.4989794299006462,0.00018145303857726493,0.5010094612836837,0.0003004872193094221,0.5004645876586438,0.0003565538382808387,0.49902393370866777,0.00012193020803139226
small,dec1,40,0.5022960230708122,0.0002504305972507256,0.5012616962194443,0.0003717327643464026,0.4998923383653164,0.0004506042683414328,0.4989281862974167,0.0004657450770238646
large,dec4,40,0.5006153956055641,0.00010139940057125695,0.49923249930143354,2.8518658076479605e-05,0.49956911951303484,0.00015377254762519624,0.5003076434135437,4.053809083879261e-05
large,dec3,40,0.49990749061107637,0.00013851236725848155,0.4995507799088955,6.302601430302681e-05,0.5006404921412468,8.891358976328163e-05,0.49966628551483155,0.00010431299662298881
large,dec2,40,0.5000059694051743,0.00020845139560733258,0.5004906192421913,0.00010834365521350678,0.5005849286913872,0.0001993665773199202,0.49883501678705217,0.00018027291535853304
large,dec1,40,0.5011808454990387,0.00047916561693500974,0.5008306294679642,0.00013575724020455503,0.4999939642846584,0.0001646502527303585,0.4994598999619484,0.00019530308588336186
